Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
69,111,2020,2024-08-08,4,140.0,Online
70,107,2020,2024-10-19,1,65.0,Online
71,101,2020,2024-12-06,3,75.0,Online
72,103,2020,2024-12-07,2,60.0,Online
73,120,2020,2024-12-25,1,15.0,Online
74,117,2021,2023-09-16,1,18.0,Online
75,117,2021,2023-09-20,2,36.0,Online
76,108,2021,2024-04-16,2,110.0,In-Store
77,119,2021,2024-06-15,1,45.0,In-Store
78,106,2021,2024-07-25,1,40.0,Online
79,105,2021,2024-10-23,1,22.5,Online
80,113,2022,2023-03-15,1,180.0,Online
81,113,2022,2023-04-24,1,180.0,In-Store
82,113,2022,2023-04-28,1,180.0,Online
83,113,2022,2023-06-20,1,180.0,Online
84,113,2022,2024-04-18,1,180.0,In-Store
85,113,2022,2024-04-19,1,180.0,Online
86,108,2022,2024-07-09,1,55.0,In-Store
87,113,2022,2024-11-28,1,180.0,Online
88,104,2022,2024-12-20,1,120.0,In-Store
89,104,2022,2024-12-26,1,120.0,In-Store
90,120,2023,2024-05-22,2,30.0,Online
91,117,2023,2024-06-13,2,36.0,Online
92,103,2023,2024-08-11,1,30.0,Online
93,118,2023,2024-09-16,1,60.0,Online
94,108,2023,2024-11-21,1,55.0,Online
95,101,2023,2024-12-29,2,50.0,Online
96,104,2024,2023-07-18,1,120.0,Online
97,116,2024,2023-12-07,1,20.0,Online
98,108,2024,2023-12-27,1,55.0,In-Store
99,106,2024,2024-01-31,1,40.0,In-Store
100,106,2024,2024-03-23,1,40.0,In-Store
101,106,2024,2024-06-15,1,40.0,In-Store
102,101,2024,2024-07-28,2,50.0,In-Store
103,114,2024,2024-09-01,1,150.0,In-Store
104,107,2024,2024-09-29,1,65.0,In-Store
105,113,2026,2023-03-23,1,180.0,In-Store
106,114,2026,2023-06-13,2,300.0,In-Store
107,115,2026,2023-11-11,1,130.0,Online
108,113,2026,2024-04-18,1,180.0,Online
109,102,2026,2024-05-08,1,75.0,In-Store
110,113,2026,2024-09-30,1,180.0,Online
111,114,2026,2024-12-19,1,150.0,In-Store
112,108,2027,2023-08-22,1,55.0,Online
113,119,2027,2023-12-28,1,45.0,Online
114,105,2027,2024-04-08,1,22.5,In-Store
115,108,2027,2024-10-23,1,55.0,Online
116,113,2028,2023-05-16,1,180.0,Online
117,115,2028,2023-07-27,1,130.0,In-Store
118,114,2028,2023-10-19,1,150.0,Online
119,113,2028,2023-11-05,1,180.0,In-Store
120,104,2028,2023-12-10,1,120.0,Online
121,110,2028,2024-05-07,1,110.0,In-Store
122,110,2028,2024-10-11,2,220.0,Online
123,105,2029,2023-04-27,1,22.5,Online
124,107,2029,2023-12-26,2,130.0,Online
125,117,2029,2024-01-03,1,18.0,In-Store
126,111,2029,2024-01-13,1,35.0,Online
127,106,2029,2024-06-29,1,40.0,Online
128,119,2030,2023-12-04,1,45.0,Online
129,105,2030,2024-01-07,1,22.5,Online
130,105,2031,2023-12-18,1,22.5,Online
131,102,2031,2024-06-05,1,75.0,Online
132,117,2031,2024-09-15,1,18.0,In-Store
133,118,2031,2024-11-12,1,60.0,Online
134,113,2032,2023-06-01,1,180.0,In-Store
135,108,2033,2023-03-23,1,55.0,In-Store
136,104,2033,2023-04-10,1,120.0,In-Store
137,110,2033,2023-06-15,1,110.0,In-Store
138,113,2033,2023-07-29,2,360.0,In-Store
139,106,2033,2023-09-06,2,80.0,In-Store
140,108,2033,2024-08-04,2,110.0,In-Store
141,102,2033,2024-08-28,1,75.0,In-Store
142,107,2033,2024-09-04,2,130.0,Online
143,110,2033,2024-10-24,1,110.0,In-Store
144,116,2033,2024-11-07,1,20.0,Online
145,102,2033,2024-11-24,3,225.0,In-Store
146,106,2033,2024-11-25,1,40.0,In-Store
147,105,2033,2024-12-03,1,22.5,In-Store
148,104,2033,2024-12-14,2,240.0,In-Store
149,117,2034,2024-06-06,1,18.0,Online
150,109,2034,2024-08-01,3,90.0,In-Store
151,111,2036,2023-02-25,3,105.0,Online
152,109,2036,2023-02-27,1,30.0,Online
153,118,2036,2023-03-03,1,60.0,Online
154,102,2036,2023-04-03,2,150.0,Online
155,105,2036,2023-06-16,1,22.5,Online
156,101,2036,2023-06-19,1,25.0,Online
157,106,2036,2023-07-10,1,40.0,Online
158,106,2036,2023-11-23,1,40.0,Online
159,109,2036,2024-03-03,1,30.0,Online
160,110,2036,2024-05-17,1,110.0,Online
161,112,2036,2024-07-01,2,170.0,Online
162,106,2036,2024-10-13,1,40.0,Online
163,119,2036,2024-10-24,1,45.0,Online
164,111,2036,2024-11-06,1,35.0,Online
165,120,2036,2024-11-07,2,30.0,Online
166,111,2036,2024-12-02,1,35.0,Online
167,110,2037,2023-02-19,1,110.0,Online
168,101,2037,2023-04-19,1,25.0,Online
169,109,2037,2023-05-03,1,30.0,In-Store
170,101,2037,2023-06-20,1,25.0,In-Store
171,102,2037,2023-06-23,1,75.0,Online
172,104,2037,2023-07-05,1,120.0,In-Store
173,110,2037,2023-09-04,1,110.0,In-Store
174,112,2037,2024-01-14,1,85.0,In-Store
175,101,2037,2024-02-16,1,25.0,In-Store
176,120,2037,2024-05-28,1,15.0,In-Store
177,111,2037,2024-09-01,2,70.0,In-Store
178,120,2037,2024-10-21,1,15.0,In-Store
179,114,2037,2024-12-04,1,150.0,In-Store
180,106,2038,2023-01-26,1,40.0,Online
181,117,2038,2023-02-04,1,18.0,Online
182,101,2038,2023-03-01,2,50.0,In-Store
183,102,2038,2023-03-31,1,75.0,In-Store
184,103,2038,2023-04-03,3,90.0,Online
185,117,2038,2023-04-21,1,18.0,Online
186,113,2040,2023-06-26,1,180.0,Online
187,113,2040,2023-11-30,1,180.0,Online
188,104,2040,2024-03-09,1,120.0,Online
189,114,2040,2024-04-15,1,150.0,In-Store
190,105,2041,2023-09-17,2,45.0,Online
191,116,2041,2023-09-21,1,20.0,Online
192,117,2041,2023-11-05,1,18.0,Online
193,103,2041,2024-05-10,2,60.0,Online
194,110,2041,2024-06-28,2,220.0,Online
195,101,2041,2024-12-13,1,25.0,Online
196,105,2042,2023-03-14,3,67.5,Online
197,119,2042,2023-04-20,2,90.0,Online
198,111,2042,2023-06-13,1,35.0,Online
199,116,2042,2023-07-02,1,20.0,Online
200,102,2042,2023-08-01,2,150.0,Online
201,101,2042,2023-10-11,4,100.0,Online
202,101,2042,2024-01-14,2,50.0,Online
203,101,2043,2023-01-14,2,50.0,Online
204,108,2043,2023-02-12,2,110.0,Online
205,112,2043,2023-02-16,1,85.0,Online
206,111,2044,2023-01-01,3,105.0,Online
207,108,2044,2023-01-11,1,55.0,In-Store
208,111,2044,2023-02-16,2,70.0,In-Store
209,109,2044,2023-03-09,2,60.0,Online
210,117,2044,2023-03-30,1,18.0,Online
211,103,2044,2023-04-24,1,30.0,Online
212,109,2044,2023-06-10,3,90.0,Online
213,109,2044,2023-07-13,1,30.0,Online
214,107,2044,2023-08-11,1,65.0,Online
215,117,2044,2023-09-07,1,18.0,Online
216,112,2044,2023-10-15,1,85.0,Online
217,106,2044,2023-10-23,2,80.0,Online
218,108,2044,2023-10-28,1,55.0,Online
219,120,2044,2023-12-06,1,15.0,Online
220,116,2044,2024-01-20,3,60.0,Online
221,103,2044,2024-01-29,1,30.0,Online
222,103,2044,2024-02-20,1,30.0,Online
223,110,2044,2024-05-17,1,110.0,Online
224,114,2045,2023-03-31,1,150.0,In-Store
225,115,2045,2024-03-13,1,130.0,In-Store
226,113,2045,2024-05-17,1,180.0,In-Store
227,114,2045,2024-06-21,1,150.0,In-Store
228,114,2045,2024-09-24,1,150.0,Online
229,113,2045,2024-11-05,1,180.0,Online
230,113,2046,2024-03-17,1,180.0,In-Store
231,113,2046,2024-05-20,1,180.0,In-Store
232,114,2046,2024-08-06,2,300.0,Online
233,114,2046,2024-10-02,1,150.0,Online
234,114,2047,2023-10-30,1,150.0,In-Store
235,113,2047,2024-06-03,1,180.0,Online
236,113,2047,2024-10-22,1,180.0,Online
237,113,2047,2024-10-29,2,360.0,In-Store
238,105,2049,2023-03-25,1,22.5,Online
239,101,2049,2023-04-17,2,50.0,Online
240,119,2049,2023-05-15,3,135.0,Online
241,119,2049,2023-08-28,2,90.0,Online
242,105,2049,2023-10-10,1,22.5,Online
243,101,2049,2023-10-14,1,25.0,Online
244,109,2049,2023-11-04,1,30.0,Online
245,108,2049,2023-11-25,1,55.0,Online
246,105,2049,2023-12-04,1,22.5,Online
247,116,2049,2024-03-14,2,40.0,Online
248,117,2049,2024-04-18,1,18.0,In-Store
249,109,2049,2024-05-30,2,60.0,In-Store
250,117,2049,2024-07-10,1,18.0,Online
251,101,2049,2024-08-19,2,50.0,Online
252,108,2049,2024-09-17,2,110.0,In-Store
253,111,2049,2024-09-25,1,35.0,Online
254,106,2049,2024-10-01,2,80.0,Online
255,117,2049,2024-12-03,1,18.0,In-Store
256,101,2049,2024-12-06,2,50.0,Online
257,106,2049,2024-12-20,1,40.0,Online
258,109,2050,2023-06-28,2,60.0,Online
259,109,2050,2023-11-09,1,30.0,In-Store
260,113,2050,2023-12-13,1,180.0,Online
261,102,2050,2023-12-19,1,75.0,In-Store
262,102,2050,2024-06-22,2,150.0,Online
263,109,2050,2024-07-11,1,30.0,In-Store
264,115,2050,2024-12-22,1,130.0,In-Store
265,104,2051,2023-02-17,2,240.0,In-Store
266,113,2051,2023-06-09,1,180.0,In-Store
267,113,2051,2023-07-25,1,180.0,Online
268,115,2051,2023-09-12,1,130.0,In-Store
269,113,2051,2023-12-15,2,360.0,In-Store
270,115,2051,2024-06-14,1,130.0,In-Store
271,113,2051,2024-06-16,1,180.0,Online
272,109,2052,2023-01-02,2,60.0,Online
273,103,2052,2023-01-06,1,30.0,Online
274,101,2052,2023-02-08,1,25.0,Online
275,112,2052,2023-03-31,2,170.0,Online
276,101,2052,2023-05-31,4,100.0,Online
277,120,2052,2023-06-01,2,30.0,Online
278,106,2052,2023-11-05,1,40.0,Online
279,111,2052,2023-11-25,1,35.0,Online
280,103,2052,2024-03-18,3,90.0,Online
281,105,2052,2024-03-26,2,45.0,In-Store
282,120,2052,2024-05-19,3,45.0,Online
283,105,2052,2024-10-07,3,67.5,Online
284,116,2052,2024-10-17,1,20.0,Online
285,110,2052,2024-11-08,1,110.0,Online
286,108,2052,2024-12-28,2,110.0,In-Store
287,104,2054,2023-08-16,1,120.0,In-Store
288,114,2054,2023-10-07,1,150.0,Online
289,101,2054,2023-10-19,1,25.0,Online
290,115,2054,2023-11-18,1,130.0,Online
291,114,2054,2024-01-22,1,150.0,Online
292,113,2054,2024-03-10,1,180.0,Online
293,113,2054,2024-03-23,1,180.0,In-Store
294,115,2054,2024-04-28,1,130.0,In-Store
295,113,2054,2024-06-14,1,180.0,Online
296,108,2055,2023-12-09,1,55.0,Online
297,108,2055,2024-01-01,1,55.0,Online
298,116,2055,2024-04-09,2,40.0,Online
299,107,2058,2024-08-04,1,65.0,Online
300,118,2058,2024-10-21,1,60.0,In-Store
301,109,2058,2024-11-18,2,60.0,In-Store
302,110,2058,2024-11-25,2,220.0,Online
303,109,2058,2024-12-29,1,30.0,In-Store
304,113,2059,2023-01-21,2,360.0,In-Store
305,113,2059,2023-10-13,1,180.0,Online
306,113,2059,2023-11-22,1,180.0,In-Store
307,113,2059,2024-03-23,1,180.0,Online
308,113,2059,2024-08-21,1,180.0,In-Store
309,113,2059,2024-11-08,1,180.0,Online
310,114,2059,2024-11-09,1,150.0,Online
311,114,2059,2024-11-16,2,300.0,Online
312,114,2059,2024-12-25,1,150.0,Online
313,114,2061,2023-05-01,1,150.0,Online
314,104,2061,2023-09-15,1,120.0,In-Store
315,113,2061,2023-12-05,1,180.0,In-Store
316,115,2061,2024-06-24,2,260.0,In-Store
317,120,2062,2023-01-11,1,15.0,In-Store
318,109,2062,2023-12-22,1,30.0,Online
319,114,2064,2023-03-24,1,150.0,Online
320,106,2065,2023-12-20,1,40.0,In-Store
321,120,2066,2023-04-27,1,15.0,In-Store
322,118,2067,2023-03-09,2,120.0,In-Store
323,107,2067,2023-04-04,1,65.0,In-Store
324,115,2068,2023-04-27,1,130.0,Online
325,113,2068,2023-07-28,2,360.0,In-Store
326,114,2068,2023-09-22,1,150.0,In-Store
327,113,2068,2023-11-03,1,180.0,In-Store
328,104,2068,2024-07-15,2,240.0,In-Store
329,108,2069,2023-11-22,2,110.0,Online
330,107,2069,2023-12-12,2,130.0,Online
331,116,2069,2023-12-24,2,40.0,Online
332,101,2069,2023-12-27,1,25.0,Online
333,102,2069,2024-01-31,3,225.0,Online
334,116,2069,2024-02-28,2,40.0,Online
335,107,2069,2024-04-14,1,65.0,Online
336,120,2069,2024-04-24,3,45.0,Online
337,111,2069,2024-05-24,1,35.0,Online
338,112,2069,2024-07-15,3,255.0,Online
339,107,2069,2024-08-10,1,65.0,Online
340,103,2069,2024-08-25,1,30.0,Online
341,118,2070,2023-03-15,1,60.0,Online
342,105,2070,2023-04-24,4,90.0,In-Store
343,101,2070,2023-05-19,3,75.0,In-Store
344,109,2070,2023-06-25,1,30.0,Online
345,111,2070,2023-08-23,2,70.0,Online
346,107,2070,2023-10-01,2,130.0,Online
347,102,2070,2023-11-05,2,150.0,Online
348,103,2070,2023-11-25,1,30.0,Online
349,120,2070,2024-07-04,2,30.0,Online
350,109,2070,2024-07-25,2,60.0,Online
351,112,2070,2024-09-09,1,85.0,Online
352,109,2070,2024-09-14,1,30.0,Online
353,118,2070,2024-10-30,1,60.0,Online
354,117,2070,2024-11-08,1,18.0,Online
355,109,2070,2024-12-02,2,60.0,Online
356,103,2070,2024-12-07,1,30.0,Online
357,111,2070,2024-12-10,1,35.0,Online
358,114,2071,2023-04-17,1,150.0,Online
359,107,2071,2023-05-09,1,65.0,In-Store
360,113,2071,2023-05-12,2,360.0,In-Store
361,113,2071,2023-08-19,1,180.0,In-Store
362,113,2071,2023-10-21,1,180.0,In-Store
363,113,2071,2023-11-08,1,180.0,In-Store
364,115,2071,2024-01-26,1,130.0,In-Store
365,113,2071,2024-05-21,1,180.0,Online
366,114,2071,2024-06-28,1,150.0,In-Store
367,113,2071,2024-07-22,1,180.0,Online
368,105,2071,2024-12-23,1,22.5,In-Store
369,109,2072,2023-04-22,1,30.0,Online
370,119,2072,2023-07-03,1,45.0,Online
371,108,2072,2023-08-25,1,55.0,Online
372,101,2072,2023-10-06,1,25.0,Online
373,119,2072,2023-11-20,3,135.0,Online
374,117,2072,2023-11-27,1,18.0,Online
375,117,2072,2024-03-01,2,36.0,Online
376,109,2072,2024-03-21,1,30.0,Online
377,118,2072,2024-04-02,1,60.0,Online
378,105,2072,2024-05-01,3,67.5,In-Store
379,101,2072,2024-11-04,3,75.0,Online
380,106,2073,2023-09-08,1,40.0,In-Store
381,106,2073,2023-11-28,1,40.0,In-Store
382,103,2073,2023-11-29,1,30.0,In-Store
383,114,2073,2024-05-28,1,150.0,In-Store
384,110,2073,2024-07-22,1,110.0,In-Store
385,107,2074,2023-01-17,1,65.0,Online
386,101,2074,2023-04-22,1,25.0,Online
387,106,2074,2023-05-02,2,80.0,Online
388,111,2074,2023-06-13,2,70.0,Online
389,117,2074,2023-07-04,3,54.0,Online
390,109,2074,2023-09-16,1,30.0,In-Store
391,118,2074,2023-10-14,1,60.0,Online
392,108,2074,2023-10-15,1,55.0,Online
393,112,2074,2023-11-08,1,85.0,Online
394,106,2074,2023-12-14,1,40.0,In-Store
395,106,2074,2024-03-01,1,40.0,Online
396,111,2074,2024-04-15,2,70.0,In-Store
397,119,2074,2024-05-13,2,90.0,Online
398,108,2074,2024-05-27,3,165.0,Online
399,119,2074,2024-06-17,3,135.0,Online
400,105,2074,2024-07-08,1,22.5,Online
401,105,2074,2024-10-02,1,22.5,In-Store
402,120,2074,2024-11-01,1,15.0,Online
403,103,2074,2024-11-15,1,30.0,Online
404,116,2074,2024-11-18,1,20.0,Online
405,110,2074,2024-12-24,1,110.0,Online
406,104,2075,2023-01-16,1,120.0,In-Store
407,113,2075,2023-04-23,1,180.0,Online
408,113,2075,2023-06-09,2,360.0,Online
409,113,2075,2023-09-26,1,180.0,In-Store
410,112,2075,2023-12-12,1,85.0,In-Store
411,115,2075,2023-12-17,1,130.0,In-Store
412,114,2075,2024-04-02,1,150.0,In-Store
413,106,2075,2024-09-17,1,40.0,In-Store
414,113,2075,2024-09-22,1,180.0,In-Store
415,112,2076,2023-05-02,1,85.0,In-Store
416,115,2077,2023-07-11,2,260.0,In-Store
417,114,2077,2023-09-07,1,150.0,In-Store
418,113,2077,2023-12-20,1,180.0,Online
419,114,2077,2024-02-28,2,300.0,Online
420,120,2078,2023-03-25,2,30.0,Online
421,114,2079,2024-07-13,1,150.0,In-Store
422,113,2079,2024-11-17,1,180.0,In-Store
423,101,2080,2023-09-21,2,50.0,Online
424,116,2080,2023-09-22,2,40.0,Online
425,103,2080,2023-12-06,1,30.0,Online
426,116,2080,2024-04-18,3,60.0,Online
427,120,2080,2024-06-24,3,45.0,Online
428,119,2080,2024-11-10,2,90.0,Online
429,120,2081,2023-11-06,2,30.0,In-Store
430,105,2081,2024-01-12,1,22.5,Online
431,106,2081,2024-07-11,1,40.0,Online
432,111,2082,2023-05-23,1,35.0,Online
433,103,2082,2023-05-29,4,120.0,Online
434,116,2082,2023-05-30,2,40.0,Online
435,103,2082,2023-06-16,1,30.0,In-Store
436,112,2082,2023-10-14,1,85.0,Online
437,120,2082,2023-11-07,2,30.0,Online
438,108,2082,2024-02-10,1,55.0,Online
439,115,2083,2023-02-17,1,130.0,Online
440,113,2083,2023-03-04,1,180.0,Online
441,101,2083,2023-07-04,2,50.0,In-Store
442,114,2083,2023-08-21,1,150.0,In-Store
443,113,2083,2023-11-29,1,180.0,In-Store
444,113,2083,2024-04-17,1,180.0,Online
445,113,2083,2024-12-14,1,180.0,Online
446,114,2084,2023-10-03,1,150.0,In-Store
447,113,2084,2024-03-15,1,180.0,In-Store
448,114,2084,2024-11-27,2,300.0,In-Store
449,115,2084,2024-12-21,1,130.0,In-Store
450,116,2085,2023-01-04,2,40.0,Online
451,107,2085,2023-01-18,2,130.0,Online
452,119,2085,2023-01-30,2,90.0,In-Store
453,103,2085,2023-02-23,1,30.0,Online
454,119,2085,2023-03-17,1,45.0,In-Store
455,109,2085,2023-04-10,1,30.0,Online
456,108,2085,2023-05-09,1,55.0,In-Store
457,119,2085,2023-05-14,1,45.0,In-Store
458,101,2085,2023-05-30,2,50.0,Online
459,106,2085,2023-06-15,2,80.0,Online
460,111,2085,2023-07-12,1,35.0,Online
461,116,2085,2023-09-20,1,20.0,Online
462,109,2085,2023-10-03,1,30.0,In-Store
463,111,2085,2023-11-18,2,70.0,Online
464,106,2085,2023-11-24,2,80.0,Online
465,116,2085,2023-12-04,1,20.0,Online
466,108,2085,2024-01-05,1,55.0,Online
467,117,2085,2024-01-16,1,18.0,In-Store
468,109,2085,2024-03-13,2,60.0,Online
469,117,2085,2024-05-01,1,18.0,In-Store
470,106,2085,2024-05-06,1,40.0,Online
471,118,2085,2024-05-15,2,120.0,Online
472,109,2085,2024-05-24,2,60.0,Online
473,120,2085,2024-08-14,1,15.0,Online
474,105,2085,2024-08-24,1,22.5,Online
475,102,2085,2024-09-30,4,300.0,Online
476,112,2085,2024-10-17,4,340.0,Online
477,117,2085,2024-10-30,2,36.0,Online
478,109,2085,2024-11-06,1,30.0,In-Store
479,112,2085,2024-12-25,1,85.0,Online
480,107,2085,2024-12-31,2,130.0,In-Store
481,114,2086,2024-05-23,1,150.0,In-Store
482,101,2086,2024-08-03,1,25.0,Online
483,109,2086,2024-08-04,3,90.0,In-Store
484,115,2086,2024-08-05,1,130.0,In-Store
485,101,2086,2024-08-15,1,25.0,In-Store
486,101,2086,2024-12-18,1,25.0,Online
487,116,2086,2024-12-19,1,20.0,In-Store
488,114,2086,2024-12-24,2,300.0,In-Store
489,117,2088,2023-01-04,1,18.0,Online
490,109,2088,2023-03-10,1,30.0,Online
491,108,2088,2023-04-19,2,110.0,Online
492,103,2088,2023-06-28,1,30.0,Online
493,119,2088,2023-07-13,1,45.0,In-Store
494,120,2088,2023-11-07,3,45.0,Online
495,102,2088,2023-12-08,3,225.0,In-Store
496,109,2088,2024-02-11,1,30.0,Online
497,111,2088,2024-04-06,1,35.0,Online
498,103,2088,2024-05-25,1,30.0,In-Store
499,110,2088,2024-11-01,1,110.0,Online
500,114,2089,2023-06-21,1,150.0,Online
501,114,2089,2023-07-02,1,150.0,In-Store
502,114,2089,2023-11-04,2,300.0,Online
503,105,2090,2023-04-04,1,22.5,In-Store
504,108,2090,2023-05-04,2,110.0,In-Store
505,119,2090,2023-05-09,1,45.0,In-Store
506,108,2090,2023-07-20,2,110.0,In-Store
507,107,2090,2023-07-26,1,65.0,Online
508,106,2090,2023-08-05,2,80.0,In-Store
509,106,2090,2023-08-11,1,40.0,In-Store
510,112,2090,2024-01-11,2,170.0,In-Store
511,108,2090,2024-02-18,1,55.0,Online
512,119,2090,2024-02-22,1,45.0,Online
513,115,2090,2024-04-03,2,260.0,In-Store
514,102,2090,2024-04-23,1,75.0,In-Store
515,104,2090,2024-05-30,1,120.0,In-Store
516,112,2090,2024-09-02,1,85.0,Online
517,114,2090,2024-12-19,1,150.0,In-Store
518,113,2091,2023-03-18,1,180.0,In-Store
519,113,2091,2023-10-01,1,180.0,In-Store
520,113,2091,2023-11-25,1,180.0,Online
521,113,2091,2024-05-25,1,180.0,In-Store
522,115,2091,2024-06-17,1,130.0,Online
523,115,2091,2024-09-11,1,130.0,Online
524,110,2092,2023-10-17,1,110.0,Online
525,107,2092,2023-11-03,1,65.0,Online
526,118,2092,2023-11-21,2,120.0,In-Store
527,111,2092,2023-12-01,1,35.0,In-Store
528,111,2092,2024-01-11,2,70.0,In-Store
529,107,2092,2024-03-12,1,65.0,In-Store
530,113,2092,2024-04-08,1,180.0,In-Store
531,105,2092,2024-05-14,2,45.0,In-Store
532,109,2092,2024-08-11,1,30.0,In-Store
533,106,2092,2024-08-25,2,80.0,In-Store
534,109,2092,2024-10-26,2,60.0,Online
535,108,2093,2024-06-04,3,165.0,Online
536,108,2093,2024-06-07,2,110.0,Online
537,116,2093,2024-06-30,1,20.0,Online
538,109,2093,2024-07-08,2,60.0,In-Store
539,116,2094,2023-04-04,1,20.0,In-Store
540,117,2094,2023-06-12,1,18.0,In-Store
541,112,2094,2023-07-20,1,85.0,Online
542,106,2095,2023-05-25,1,40.0,Online
543,118,2095,2023-10-04,2,120.0,Online
544,101,2095,2024-06-26,1,25.0,Online
545,116,2095,2024-12-29,1,20.0,Online
546,109,2096,2023-12-22,2,60.0,Online
547,119,2096,2024-03-08,1,45.0,In-Store
548,106,2097,2023-03-10,1,40.0,In-Store
549,114,2097,2023-03-21,1,150.0,Online
550,108,2097,2023-05-06,1,55.0,In-Store
551,110,2097,2023-06-22,1,110.0,In-Store
552,110,2097,2023-06-30,1,110.0,In-Store
553,110,2097,2023-08-03,1,110.0,In-Store
554,105,2097,2023-11-12,1,22.5,Online
555,106,2097,2023-12-03,1,40.0,Online
556,106,2097,2024-01-06,1,40.0,In-Store
557,104,2097,2024-01-09,1,120.0,In-Store
558,102,2097,2024-03-17,1,75.0,In-Store
559,106,2097,2024-03-30,2,80.0,In-Store
560,109,2097,2024-05-08,1,30.0,In-Store
561,105,2097,2024-06-06,1,22.5,Online
562,107,2097,2024-07-06,2,130.0,In-Store
563,108,2097,2024-07-28,1,55.0,In-Store
564,110,2097,2024-10-31,1,110.0,In-Store
565,117,2097,2024-12-08,1,18.0,In-Store
566,110,2097,2024-12-31,1,110.0,In-Store
567,114,2098,2024-07-24,1,150.0,In-Store
568,113,2099,2024-03-14,2,360.0,In-Store
569,107,2099,2024-05-22,1,65.0,In-Store
570,104,2099,2024-05-27,2,240.0,In-Store
571,107,2099,2024-07-06,1,65.0,In-Store
572,107,2099,2024-07-16,2,130.0,In-Store
573,110,2099,2024-08-26,2,220.0,In-Store
574,111,2099,2024-11-09,2,70.0,In-Store
575,109,2099,2024-12-05,1,30.0,In-Store
576,104,2100,2024-12-20,1,120.0,In-Store
577,114,2101,2023-01-29,1,150.0,In-Store
578,115,2101,2023-04-02,1,130.0,Online
579,113,2101,2023-04-22,1,180.0,In-Store
580,113,2101,2023-05-10,1,180.0,Online
581,114,2101,2023-05-26,1,150.0,In-Store
582,114,2101,2023-06-12,1,150.0,Online
583,113,2101,2023-06-15,1,180.0,Online
584,114,2101,2023-06-23,1,150.0,In-Store
