Customer_ID,Age,Gender,Location,Join_Date,Anciennete_Jours,Total_Spent,Nb_Achats,Montant_Total,Panier_Moyen,Premier_Achat,Dernier_Achat,Recence_Jours,Part_Clothing,Part_Footwear,Part_Outerwear,Part_Accessories,Canal_Prefere,Part_Online
2058,40,Male,Houston,2024-05-17,228,435.0,5,435.0,87.0,2024-08-04,2024-12-29,2,35.63,50.57,0.0,13.79,In-Store,40.0
2059,44,Female,Miami,2022-06-17,928,1895.63,9,1860.0,206.67,2023-01-21,2024-12-25,6,0.0,0.0,100.0,0.0,Online,66.67
2060,31,Female,San Antonio,2023-03-10,662,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2061,38,Male,Chicago,2021-03-15,1387,1213.1,4,710.0,177.5,2023-05-01,2024-06-24,190,0.0,0.0,100.0,0.0,In-Store,25.0
2062,30,Female,San Antonio,2022-10-29,794,57.67,2,45.0,22.5,2023-01-11,2023-12-22,375,66.67,0.0,0.0,33.33,In-Store,50.0
2063,32,Female,Philadelphia,2022-10-13,810,45.55,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2064,40,Female,Miami,2022-09-03,850,188.55,1,150.0,150.0,2023-03-24,2023-03-24,648,0.0,0.0,100.0,0.0,Online,100.0
2065,49,Female,Philadelphia,2023-12-03,394,40.0,1,40.0,40.0,2023-12-20,2023-12-20,377,100.0,0.0,0.0,0.0,In-Store,0.0
2066,23,Female,Miami,2022-10-13,810,59.36,1,15.0,15.0,2023-04-27,2023-04-27,614,0.0,0.0,0.0,100.0,In-Store,0.0
2067,37,Male,San Diego,2022-12-13,749,196.42,2,185.0,92.5,2023-03-09,2023-04-04,637,35.14,0.0,0.0,64.86,In-Store,0.0
2068,37,Female,San Diego,2022-01-22,1074,1344.45,5,1060.0,212.0,2023-04-27,2024-07-15,169,0.0,0.0,100.0,0.0,In-Store,20.0
2069,18,Male,Chicago,2023-11-18,409,1065.0,12,1065.0,88.75,2023-11-22,2024-08-25,128,58.22,30.05,0.0,11.74,Online,100.0
2070,24,Male,San Antonio,2023-01-13,718,1043.0,17,1043.0,61.35,2023-03-15,2024-12-10,21,51.29,23.97,0.0,24.74,Online,88.24
2071,32,Female,Miami,2022-08-31,853,1827.81,11,1777.5,161.59,2023-04-17,2024-12-23,8,3.66,0.0,95.08,1.27,In-Store,27.27
2072,20,Female,Chicago,2022-02-12,1053,811.76,11,576.5,52.41,2023-04-22,2024-11-04,57,37.29,0.0,0.0,62.71,Online,90.91
2073,56,Female,New York,2023-04-29,612,370.0,5,370.0,74.0,2023-09-08,2024-07-22,162,21.62,37.84,40.54,0.0,In-Store,0.0
2074,21,Female,San Antonio,2022-08-20,864,1390.54,21,1284.0,61.14,2023-01-17,2024-12-24,7,38.94,28.43,0.0,32.63,Online,80.95
2075,38,Female,Miami,2022-05-11,965,1509.09,9,1425.0,158.33,2023-01-16,2024-09-22,100,2.81,5.96,91.23,0.0,In-Store,22.22
2076,32,Male,Phoenix,2021-09-28,1190,237.15,1,85.0,85.0,2023-05-02,2023-05-02,609,0.0,100.0,0.0,0.0,In-Store,0.0
2077,39,Male,Miami,2022-12-11,751,897.89,4,890.0,222.5,2023-07-11,2024-02-28,307,0.0,0.0,100.0,0.0,In-Store,50.0
2078,21,Male,San Antonio,2022-04-11,995,110.29,1,30.0,30.0,2023-03-25,2023-03-25,647,0.0,0.0,0.0,100.0,Online,100.0
2079,34,Female,Phoenix,2023-09-07,481,330.0,2,330.0,165.0,2024-07-13,2024-11-17,44,0.0,0.0,100.0,0.0,In-Store,0.0
2080,22,Female,Miami,2023-04-28,613,315.0,6,315.0,52.5,2023-09-21,2024-11-10,51,15.87,9.52,0.0,74.6,Online,100.0
2081,24,Female,San Diego,2021-07-05,1275,472.59,3,92.5,30.83,2023-11-06,2024-07-11,173,43.24,0.0,0.0,56.76,Online,66.67
2082,24,Female,Chicago,2021-06-17,1293,569.88,7,395.0,56.43,2023-05-23,2024-02-10,325,13.92,68.35,0.0,17.72,Online,85.71
2083,41,Male,New York,2022-12-17,745,1062.15,7,1050.0,150.0,2023-02-17,2024-12-14,17,4.76,0.0,95.24,0.0,Online,57.14
2084,43,Female,Los Angeles,2023-09-16,472,760.0,4,760.0,190.0,2023-10-03,2024-12-21,10,0.0,0.0,100.0,0.0,In-Store,0.0
2085,21,Male,Phoenix,2021-03-18,1384,2595.33,31,2179.5,70.31,2023-01-04,2024-12-31,0,51.85,25.69,0.0,22.46,Online,70.97
2086,57,Male,Dallas,2023-09-11,477,765.0,8,765.0,95.62,2024-05-23,2024-12-24,7,21.57,0.0,75.82,2.61,In-Store,25.0
2087,42,Male,Dallas,2023-07-04,546,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2088,26,Female,San Diego,2022-08-05,879,738.18,11,708.0,64.36,2023-01-04,2024-11-01,60,55.79,28.95,0.0,15.25,Online,72.73
2089,37,Male,Miami,2023-06-02,578,600.0,3,600.0,200.0,2023-06-21,2023-11-04,423,0.0,0.0,100.0,0.0,Online,66.67
2090,58,Male,San Antonio,2022-07-15,900,1516.18,15,1432.5,95.5,2023-04-04,2024-12-19,12,37.35,17.8,37.0,7.85,In-Store,26.67
2091,41,Female,Phoenix,2021-05-31,1310,1153.12,6,980.0,163.33,2023-03-18,2024-09-11,111,0.0,0.0,100.0,0.0,In-Store,50.0
2092,53,Female,Phoenix,2021-01-01,1460,1333.46,11,860.0,78.18,2023-10-17,2024-10-26,66,34.88,25.0,20.93,19.19,In-Store,27.27
2093,21,Male,Miami,2024-05-15,230,355.0,4,355.0,88.75,2024-06-04,2024-07-08,176,94.37,0.0,0.0,5.63,Online,75.0
2094,38,Female,Phoenix,2022-04-11,995,188.68,3,123.0,41.0,2023-04-04,2023-07-20,530,0.0,69.11,0.0,30.89,In-Store,33.33
2095,53,Male,Philadelphia,2021-07-08,1272,500.62,4,205.0,51.25,2023-05-25,2024-12-29,2,31.71,0.0,0.0,68.29,Online,100.0
2096,37,Female,Houston,2022-12-22,740,109.36,2,105.0,52.5,2023-12-22,2024-03-08,298,57.14,0.0,0.0,42.86,Online,50.0
2097,56,Male,Phoenix,2021-05-03,1338,1703.37,19,1428.0,75.16,2023-03-10,2024-12-31,0,38.17,38.52,18.91,4.41,In-Store,21.05
2098,42,Female,Phoenix,2024-06-09,205,150.0,1,150.0,150.0,2024-07-24,2024-07-24,160,0.0,0.0,100.0,0.0,In-Store,0.0
2099,57,Female,Dallas,2024-03-03,303,1180.0,8,1180.0,147.5,2024-03-14,2024-12-05,26,24.58,24.58,50.85,0.0,In-Store,0.0
2100,40,Male,Miami,2023-01-29,702,120.0,1,120.0,120.0,2024-12-20,2024-12-20,11,0.0,0.0,100.0,0.0,In-Store,0.0
2101,41,Female,Phoenix,2021-06-14,1296,3671.59,18,3480.0,193.33,2023-01-29,2024-12-06,25,0.0,0.0,100.0,0.0,In-Store,44.44
2102,26,Male,Dallas,2022-05-14,962,969.31,13,930.0,71.54,2023-01-23,2024-09-29,93,48.92,35.48,0.0,15.59,Online,84.62
2103,46,Male,Miami,2023-09-13,475,110.0,1,110.0,110.0,2024-08-14,2024-08-14,139,100.0,0.0,0.0,0.0,In-Store,0.0
2104,42,Male,Los Angeles,2022-05-14,962,566.0,3,470.0,156.67,2023-05-07,2024-09-23,99,0.0,23.4,76.6,0.0,Online,66.67
2105,23,Male,Los Angeles,2021-02-22,1408,945.99,10,478.0,47.8,2023-01-17,2024-01-18,348,23.01,6.28,0.0,70.71,Online,80.0
2106,55,Male,Houston,2023-07-17,533,165.0,3,165.0,55.0,2023-11-03,2024-12-29,2,78.79,21.21,0.0,0.0,In-Store,33.33
2107,48,Male,San Diego,2022-09-05,848,89.53,1,30.0,30.0,2023-03-31,2023-03-31,641,100.0,0.0,0.0,0.0,In-Store,0.0
2108,25,Male,New York,2022-05-04,972,681.65,12,587.0,48.92,2023-02-20,2024-12-24,7,52.81,11.07,0.0,36.12,Online,75.0
2109,21,Female,New York,2022-04-01,1005,710.45,12,646.0,53.83,2023-01-02,2024-10-25,67,70.43,5.42,0.0,24.15,Online,91.67
2110,45,Female,San Antonio,2021-02-14,1416,1675.53,16,1285.0,80.31,2023-04-24,2024-12-20,11,40.86,17.9,39.69,1.56,In-Store,6.25
2111,36,Female,Phoenix,2024-06-28,186,360.0,1,360.0,360.0,2024-12-12,2024-12-12,19,0.0,0.0,100.0,0.0,In-Store,0.0
2112,51,Female,Philadelphia,2023-12-08,389,525.0,7,525.0,75.0,2024-02-18,2024-12-13,18,64.76,6.67,24.76,3.81,In-Store,28.57
2113,53,Male,Dallas,2023-01-22,709,810.0,9,810.0,90.0,2023-03-21,2024-12-03,28,13.58,24.07,53.09,9.26,In-Store,0.0
2114,24,Male,Dallas,2023-03-10,662,170.0,4,170.0,42.5,2023-03-15,2023-12-28,369,100.0,0.0,0.0,0.0,In-Store,50.0
2115,21,Male,San Diego,2021-04-30,1341,1340.37,17,1020.0,60.0,2023-03-03,2024-11-29,32,68.14,15.69,0.0,16.18,Online,76.47
2116,36,Female,Dallas,2021-01-02,1459,166.13,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2117,55,Male,Dallas,2023-04-19,622,1370.0,13,1370.0,105.38,2023-04-20,2024-12-31,0,15.33,16.42,57.66,10.58,In-Store,7.69
2118,51,Male,Los Angeles,2022-11-15,777,83.62,2,75.0,37.5,2023-05-29,2024-04-13,262,40.0,0.0,0.0,60.0,In-Store,50.0
2119,60,Female,Los Angeles,2021-04-22,1349,310.94,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2120,58,Female,Phoenix,2022-07-03,912,426.33,5,340.0,68.0,2023-04-03,2024-12-25,6,57.35,42.65,0.0,0.0,In-Store,20.0
2121,41,Female,Chicago,2022-05-05,971,1209.58,7,1010.0,144.29,2023-01-21,2024-11-17,44,0.0,0.0,100.0,0.0,Online,71.43
2122,23,Male,San Antonio,2022-08-15,869,449.56,9,391.0,43.44,2023-02-27,2024-12-22,9,74.17,0.0,0.0,25.83,Online,88.89
2123,55,Female,Miami,2024-06-28,186,390.0,2,390.0,195.0,2024-12-25,2024-12-27,4,0.0,0.0,100.0,0.0,In-Store,50.0
2124,52,Female,Dallas,2022-02-07,1058,498.46,5,427.5,85.5,2023-01-31,2023-09-17,471,0.0,59.65,35.09,5.26,In-Store,20.0
2125,33,Female,San Diego,2023-12-11,386,33.0,2,33.0,16.5,2024-08-15,2024-12-09,22,0.0,0.0,0.0,100.0,Online,100.0
2126,51,Female,Philadelphia,2021-01-12,1449,805.49,3,270.0,90.0,2023-02-04,2023-02-17,683,11.11,22.22,66.67,0.0,In-Store,33.33
2127,51,Female,Chicago,2021-02-03,1427,381.66,5,225.0,45.0,2023-03-07,2024-11-05,56,80.0,0.0,0.0,20.0,In-Store,0.0
2128,19,Male,Chicago,2022-06-21,924,973.11,17,893.0,52.53,2023-03-28,2024-12-02,29,81.19,3.36,0.0,15.45,Online,94.12
2129,43,Male,Dallas,2021-04-29,1342,772.54,3,370.0,123.33,2023-10-28,2024-11-06,55,35.14,16.22,48.65,0.0,In-Store,0.0
2130,28,Female,Houston,2023-11-01,426,105.0,2,105.0,52.5,2024-06-24,2024-07-24,160,0.0,0.0,0.0,100.0,Online,100.0
2131,40,Female,Houston,2022-10-22,801,869.39,8,823.0,102.88,2023-01-20,2024-08-30,123,49.21,0.0,48.6,2.19,In-Store,25.0
2132,50,Female,San Diego,2022-10-17,806,570.92,6,545.0,90.83,2023-01-30,2024-02-23,312,17.43,20.18,51.38,11.01,In-Store,0.0
2133,37,Female,Dallas,2021-08-01,1248,917.05,3,490.0,163.33,2023-01-06,2024-12-18,13,0.0,0.0,100.0,0.0,Online,100.0
2134,31,Male,Chicago,2021-10-04,1184,304.6,3,90.0,30.0,2023-10-15,2024-12-11,20,27.78,0.0,0.0,72.22,Online,66.67
2135,21,Female,New York,2024-06-23,191,42.5,2,42.5,21.25,2024-06-29,2024-08-03,150,0.0,0.0,0.0,100.0,Online,50.0
2136,29,Female,Miami,2024-04-10,265,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2137,32,Male,Philadelphia,2023-10-08,450,1390.0,8,1390.0,173.75,2023-10-20,2024-12-17,14,5.76,0.0,94.24,0.0,In-Store,50.0
2138,59,Male,Phoenix,2023-04-10,631,1980.0,18,1980.0,110.0,2023-05-27,2024-12-01,30,26.77,25.51,43.43,4.29,In-Store,5.56
2139,23,Female,San Antonio,2023-01-06,725,90.0,2,90.0,45.0,2023-01-18,2023-05-04,607,83.33,0.0,0.0,16.67,Online,50.0
2140,29,Male,San Antonio,2022-11-06,786,82.35,1,60.0,60.0,2023-02-19,2023-02-19,681,0.0,0.0,0.0,100.0,In-Store,0.0
2141,38,Male,Los Angeles,2022-11-16,776,344.81,2,330.0,165.0,2023-08-28,2024-11-29,32,0.0,0.0,100.0,0.0,In-Store,0.0
2142,45,Female,San Antonio,2022-12-06,756,79.25,2,60.0,30.0,2023-07-21,2024-01-29,337,50.0,0.0,0.0,50.0,Online,100.0
2143,19,Female,Los Angeles,2023-08-16,503,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2144,37,Female,Chicago,2024-06-22,192,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2145,46,Male,Houston,2021-09-09,1209,1257.17,12,930.0,77.5,2023-05-01,2024-11-27,34,58.6,21.51,12.9,6.99,In-Store,16.67
2146,24,Male,San Antonio,2024-04-28,247,115.0,3,115.0,38.33,2024-09-06,2024-11-08,53,86.96,0.0,0.0,13.04,Online,100.0
2147,24,Male,Chicago,2021-08-24,1225,975.78,10,573.0,57.3,2023-05-03,2024-07-11,173,56.72,20.94,0.0,22.34,Online,80.0
2148,33,Male,Houston,2023-12-15,382,480.0,3,480.0,160.0,2024-10-29,2024-12-16,15,0.0,0.0,100.0,0.0,Online,66.67
2149,22,Male,Dallas,2023-02-22,678,118.0,3,118.0,39.33,2023-03-15,2023-05-05,606,84.75,0.0,0.0,15.25,Online,66.67
2150,37,Female,San Antonio,2024-03-10,296,136.0,3,136.0,45.33,2024-08-29,2024-10-28,64,0.0,62.5,0.0,37.5,Online,66.67
2151,34,Male,Los Angeles,2024-01-27,339,510.0,3,510.0,170.0,2024-07-22,2024-11-24,37,0.0,0.0,100.0,0.0,In-Store,33.33
2152,48,Male,Philadelphia,2022-10-17,806,659.51,7,617.5,88.21,2023-01-26,2024-12-08,23,46.15,0.0,50.2,3.64,In-Store,14.29
2153,26,Female,Miami,2023-06-15,565,639.0,10,639.0,63.9,2024-03-21,2024-12-25,6,71.21,14.08,0.0,14.71,Online,80.0
2154,63,Male,Dallas,2021-07-06,1274,952.53,5,800.0,160.0,2023-04-01,2023-11-03,424,21.88,10.62,67.5,0.0,Online,60.0
2155,19,Female,Chicago,2023-01-02,729,545.0,9,545.0,60.56,2023-05-27,2024-12-28,3,84.4,0.0,0.0,15.6,Online,77.78
2156,22,Female,Chicago,2021-05-26,1315,607.35,2,345.0,172.5,2023-01-24,2023-06-15,565,100.0,0.0,0.0,0.0,Online,50.0
2157,49,Female,San Antonio,2022-04-03,1003,306.1,4,210.0,52.5,2023-02-11,2024-01-21,345,57.14,0.0,0.0,42.86,In-Store,25.0
2158,41,Female,New York,2024-01-03,363,1230.0,5,1230.0,246.0,2024-03-28,2024-12-21,10,0.0,0.0,100.0,0.0,In-Store,20.0
2159,47,Male,Miami,2022-05-13,963,216.08,1,22.5,22.5,2023-11-29,2023-11-29,398,0.0,0.0,0.0,100.0,Online,100.0
2160,53,Female,San Antonio,2021-08-14,1235,1073.38,5,780.0,156.0,2023-02-12,2024-02-16,319,5.13,28.21,66.67,0.0,In-Store,40.0
2161,33,Male,Philadelphia,2022-09-13,840,2300.97,15,2282.5,152.17,2023-03-28,2024-09-16,106,0.0,0.0,99.01,0.99,In-Store,40.0
2162,37,Female,Houston,2021-11-16,1141,1772.8,7,1460.0,208.57,2023-02-07,2024-12-14,17,0.0,7.53,92.47,0.0,In-Store,42.86
2163,35,Male,Miami,2021-06-07,1303,1468.47,6,1065.0,177.5,2023-05-16,2024-10-27,65,0.0,0.0,95.77,4.23,In-Store,33.33
2164,45,Female,Philadelphia,2022-12-31,731,595.46,4,595.0,148.75,2023-03-03,2024-07-20,164,6.72,5.88,87.39,0.0,In-Store,25.0
2165,25,Female,Miami,2024-06-05,209,90.0,1,90.0,90.0,2024-07-15,2024-07-15,169,0.0,0.0,0.0,100.0,Online,100.0
2166,29,Female,Los Angeles,2022-12-22,740,233.29,2,230.0,115.0,2023-05-04,2024-05-26,219,47.83,0.0,0.0,52.17,Online,100.0
2167,25,Female,Phoenix,2022-09-25,828,622.02,10,544.0,54.4,2023-01-04,2023-12-22,375,68.01,22.06,0.0,9.93,Online,90.0
2168,40,Male,Phoenix,2022-02-06,1059,1137.8,10,1070.0,107.0,2023-02-16,2024-12-15,16,23.36,0.0,76.64,0.0,In-Store,30.0
2169,39,Male,San Antonio,2021-06-12,1298,603.65,2,265.0,132.5,2023-03-06,2023-08-13,506,0.0,32.08,67.92,0.0,In-Store,50.0
2170,55,Male,Miami,2023-05-25,586,655.0,5,655.0,131.0,2023-06-08,2024-12-27,4,16.03,0.0,83.97,0.0,In-Store,0.0
2171,22,Male,San Diego,2022-12-29,733,273.34,5,271.0,54.2,2023-07-22,2024-02-08,327,86.72,0.0,0.0,13.28,Online,100.0
2172,40,Female,Houston,2021-05-15,1326,488.12,6,295.0,49.17,2023-01-21,2024-12-10,21,42.37,38.98,0.0,18.64,Online,50.0
2173,37,Female,Chicago,2021-09-15,1203,3487.7,19,3290.0,173.16,2023-01-08,2024-11-09,52,0.0,3.34,96.05,0.61,Online,57.89
2174,51,Male,Philadelphia,2023-07-28,522,223.0,4,223.0,55.75,2023-08-10,2024-12-07,24,33.63,0.0,58.3,8.07,In-Store,25.0
2175,23,Male,Philadelphia,2021-06-01,1309,1027.28,13,660.0,50.77,2023-03-24,2024-03-17,289,76.52,5.3,0.0,18.18,Online,69.23
2176,39,Male,San Diego,2023-05-29,582,1170.0,6,1170.0,195.0,2023-07-31,2024-09-29,93,0.0,0.0,100.0,0.0,In-Store,33.33
2177,70,Female,Chicago,2022-04-20,986,1151.07,13,1077.5,82.88,2023-02-04,2024-10-21,71,71.0,2.78,24.13,2.09,In-Store,15.38
2178,54,Female,New York,2022-07-12,903,476.89,7,400.0,57.14,2023-07-12,2024-09-05,117,100.0,0.0,0.0,0.0,In-Store,14.29
2179,41,Female,Miami,2023-12-22,375,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
2180,21,Male,Phoenix,2022-11-08,784,469.36,11,453.5,41.23,2023-02-27,2024-12-08,23,67.25,0.0,0.0,32.75,Online,81.82
2181,43,Female,Chicago,2021-10-25,1163,927.06,5,695.0,139.0,2023-05-14,2024-08-09,144,0.0,12.23,87.77,0.0,Online,60.0
2182,50,Female,San Diego,2024-01-29,337,765.0,6,765.0,127.5,2024-06-06,2024-12-22,9,29.41,3.92,66.67,0.0,In-Store,0.0
